iteracao,bloco_removido,n_parametros_removidos,p_valor_wald,p_valor_deviance,delta_deviance,deviance_modelo_antes,colunas_removidas
1,asma,1,0.9995175248489722,0.5818504052326661,0.30325272235586453,341.1872206493704,asma
2,infarto_miocardio_ate_6_meses,1,0.9995039193420188,0.45379794667666706,0.5611482951873086,341.49047337172624,infarto_miocardio_ate_6_meses
3,doenca_arterial_periferica,1,0.9249989510411559,0.9245877038201834,0.008959845109302478,342.05162166691355,doenca_arterial_periferica
4,estado_desempenho_zubrod,2,0.664535190079671,0.664117995098241,0.8185908836637736,342.06058151202285,"C(estado_desempenho_zubrod, Treatment(reference='PRZ1'))[T.PRZ0], C(estado_desempenho_zubrod, Treatment(reference='PRZ1'))[T.PRZ2]"
5,idade,1,0.6854595949779471,0.6857706358817721,0.16370217556703892,342.8791723956866,idade
6,hemoptise_antes_cirurgia,1,0.6291647564158395,0.6320284521674219,0.22932006065991573,343.04287457125366,hemoptise_antes_cirurgia
7,tosse_antes_cirurgia,1,0.37150629200213736,0.3639967032422927,0.8240568458247708,343.2721946319136,tosse_antes_cirurgia
8,capacidade_vital_forcada,1,0.2702876091346012,0.2652962445173585,1.2409074147765864,344.09625147773835,capacidade_vital_forcada
9,dor_antes_cirurgia,1,0.2457965566830111,0.2599826757120808,1.2688492241243807,345.33715889251494,dor_antes_cirurgia
10,volume_expiratorio_forcado_1s,1,0.16059032156006453,0.09533132037849694,2.7819619731241687,346.6060081166393,volume_expiratorio_forcado_1s
11,fraqueza_antes_cirurgia,1,0.105098985773799,0.11339086316309385,2.5063141293986746,349.3879700897635,fraqueza_antes_cirurgia
